ZipCode,PrimaryRecord,Population,HouseholdsPerZipcode,WhitePopulation,BlackPopulation,HispanicPopulation,AsianPopulation,HawaiianPopulation,IndianPopulation,OtherPopulation,MalePopulation,FemalePopulation,PersonsPerHousehold,AverageHouseValue,IncomePerHousehold,MedianAge,MedianAgeMale,MedianAgeFemale,Latitude,Longitude,Elevation,State,StateFullName,CityType,CityAliasAbbreviation,AreaCode,City,CityAliasName,County,CountyFIPS,StateFIPS,TimeZone,DayLightSaving,MSA,PMSA,CSA,CBSA,CBSA_DIV,CBSA_Type,CBSA_Name,MSA_Name,PMSA_Name,Region,Division,MailingName,NumberOfBusinesses,NumberOfEmployees,BusinessFirstQuarterPayroll,BusinessAnnualPayroll,BusinessEmploymentFlag,GrowthRank,GrowingCountiesA,GrowingCountiesB,GrowthIncreaseNumber,GrowthIncreasePercentage,CBSAPopulation,CBSADivisionPopulation,CongressionalDistrict,CongressionalLandArea,DeliveryResidential,DeliveryBusiness,DeliveryTotal,PreferredLastLineKey,ClassificationCode,MultiCounty,CSAName,CBSA_Div_Name,CityStateKey,PopulationEstimate,LandArea,WaterArea,CityAliasCode,CityMixedCase,CityAliasMixedCase,BoxCount,SFDU,MFDU,StateANSI,CountyANSI,ZIPIntroDate,AliasIntroDate,FacilityCode,UniqueZIPName,CityDeliveryIndicator,CarrierRouteRateSortation,FinanceNumber
06611,P,34267,12168,32205,653,926,815,6,38,242,16479,17788,2.82,260500,79446,40.3,39.4,41.1,41.261696,-73.20786,9,CT,Connecticut,B,,203,TRUMBULL,TRUMBULL,FAIRFIELD,1,9,5,Y,5602,1160,408,14860,,Metro,"Bridgeport-Stamford-Norwalk, CT",New York-Northern New Jersey-Long Island,"Bridgeport, CT PMSA",Northeast,New England,Y,962,17342,224828,792028, ,0,0,0,0,0,899152,0,03|04,459.15|456.94,12994,721,14446,V20720, ,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",,V20720,36643,23.31,0.19,,Trumbull,Trumbull,266,11559,534,9,1,<2004-10,<2004-10,B,,Y,D,80578
06650, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1895,-73.1284,9,CT,Connecticut,N,,203,BRIDGEPORT,STRATMAR FULFILLMENT CORP,FAIRFIELD,1,9,5,Y,5602,1160,408,14860,,Metro,"Bridgeport-Stamford-Norwalk, CT",New York-Northern New Jersey-Long Island,"Bridgeport, CT PMSA",Northeast,New England,N,0,0,0,0,,0,0,0,0,0,899152,0,,,0,0,0,V20069, ,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",,V20687,0,0,0,B,Bridgeport,Stratmar Fulfillment Corp,0,0,0,9,1,<2004-10,<2004-10,N,,Y,C,80578
06673,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1667,-73.2054,9,CT,Connecticut,P,,203,BRIDGEPORT,BRIDGEPORT,FAIRFIELD,1,9,5,Y,5602,1160,408,14860,,Metro,"Bridgeport-Stamford-Norwalk, CT",New York-Northern New Jersey-Long Island,"Bridgeport, CT PMSA",Northeast,New England,Y,0,0,0,0,,0,0,0,0,0,899152,0,,,0,0,304,V20069,U,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",,V20069,0,0,0,B,Bridgeport,Bridgeport,0,0,0,9,1,<2004-10,<2004-10,P,,N,C,80578
06673, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1667,-73.2054,9,CT,Connecticut,N,,203,BRIDGEPORT,PROMOTION MARKETING SER INC,FAIRFIELD,1,9,5,Y,5602,1160,408,14860,,Metro,"Bridgeport-Stamford-Norwalk, CT",New York-Northern New Jersey-Long Island,"Bridgeport, CT PMSA",Northeast,New England,N,0,0,0,0,,0,0,0,0,0,899152,0,,,0,0,304,V20069,U,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",,V20540,0,0,0,B,Bridgeport,Promotion Marketing Ser Inc,0,0,0,9,1,<2004-10,<2004-10,N,Y,N,C,80578
06699,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1667,-73.2054,9,CT,Connecticut,P,,203,BRIDGEPORT,BRIDGEPORT,FAIRFIELD,1,9,5,Y,5602,1160,408,14860,,Metro,"Bridgeport-Stamford-Norwalk, CT",New York-Northern New Jersey-Long Island,"Bridgeport, CT PMSA",Northeast,New England,Y,0,0,0,0,,0,0,0,0,0,899152,0,,,0,1,299,V20069,U,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",,V20069,0,0,0,G,Bridgeport,Bridgeport,0,0,0,9,1,<2004-10,<2004-10,P,,N,C,80578
06612,P,7272,2511,7035,16,128,147,1,3,30,3522,3750,2.95,455700,125557,40.4,40.6,40.3,41.276709,-73.305702,9,CT,Connecticut,B,,203,EASTON,EASTON,FAIRFIELD,1,9,5,Y,5602,1160,408,14860,,Metro,"Bridgeport-Stamford-Norwalk, CT",New York-Northern New Jersey-Long Island,"Bridgeport, CT PMSA",Northeast,New England,Y,152,624,4833,25676, ,0,0,0,0,0,899152,0,4,456.94,2678,28,3771,V20207, ,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",,V20207,7900,27.5,1.24,,Easton,Easton,69,2678,0,9,1,<2004-10,<2004-10,B,,Y,D,80578
06614,P,32198,13225,29982,991,1533,427,5,39,414,15088,17110,2.47,170000,57489,42.1,40.2,44.1,41.230203,-73.1248,9,CT,Connecticut,B,,203,STRATFORD,STRATFORD,FAIRFIELD,1,9,5,Y,5602,1160,408,14860,,Metro,"Bridgeport-Stamford-Norwalk, CT",New York-Northern New Jersey-Long Island,"Bridgeport, CT PMSA",Northeast,New England,Y,449,4775,34340,142927, ,0,0,0,0,0,899152,0,03|04,459.15|456.94,13055,601,13634,V20685, ,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",,V20685,32245,11.05,0.1,,Stratford,Stratford,0,12213,604,9,1,<2004-10,<2004-10,B,,Y,D,80578
06615,P,17778,7372,12379,3901,1866,273,12,43,657,8451,9327,2.54,141200,47047,37.2,36.1,38.4,41.173882,-73.136492,9,CT,Connecticut,B,,203,STRATFORD,STRATFORD,FAIRFIELD,1,9,5,Y,5602,1160,408,14860,,Metro,"Bridgeport-Stamford-Norwalk, CT",New York-Northern New Jersey-Long Island,"Bridgeport, CT PMSA",Northeast,New England,Y,584,8885,89942,388986, ,0,0,0,0,0,899152,0,03|04,459.15|456.94,7077,909,9051,V20685, ,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",,V20685,17975,6.62,0.05,,Stratford,Stratford,495,6059,727,9,1,<2004-10,<2004-10,B,,Y,D,80578
06650,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1895,-73.1284,9,CT,Connecticut,P,,203,BRIDGEPORT,BRIDGEPORT,FAIRFIELD,1,9,5,Y,5602,1160,408,14860,,Metro,"Bridgeport-Stamford-Norwalk, CT",New York-Northern New Jersey-Long Island,"Bridgeport, CT PMSA",Northeast,New England,Y,0,0,0,0,,0,0,0,0,0,899152,0,,,0,0,0,V20069, ,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",,V20069,0,0,0,,Bridgeport,Bridgeport,0,0,0,9,1,<2004-10,<2004-10,P,,Y,C,80578
06699, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1667,-73.2054,9,CT,Connecticut,N,,203,BRIDGEPORT,CONTROLLED DISTRIBUTION,FAIRFIELD,1,9,5,Y,5602,1160,408,14860,,Metro,"Bridgeport-Stamford-Norwalk, CT",New York-Northern New Jersey-Long Island,"Bridgeport, CT PMSA",Northeast,New England,N,0,0,0,0,,0,0,0,0,0,899152,0,,,0,1,299,V20069,U,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",,V20138,0,0,0,G,Bridgeport,Controlled Distribution,0,0,0,9,1,<2004-10,<2004-10,N,Y,N,C,80578
